job_id,@model,@weather,@type,@north,@ch,@floor,@wwr_KL_B,@ach,@tmin,@tmax,@fabric,@glazing,BD1_HA26c_occ,BD1_TM52_C1,BD1_HA26p_occ,@job_s,@wwr_KL,@wwr_B
EP_CP_P1201_000000085,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_80,2,22,24,v1,v1,1962.25,0.324,0.224,00085,90,80
EP_CP_P1201_000000086,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_80,4,22,24,v1,v1,1111.5,0.139,0.127,00086,90,80
EP_CP_P1201_000000087,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_80,8,22,24,v1,v1,709.25,0.058,0.081,00087,90,80
EP_CP_P1201_000000088,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_70,1,22,24,v1,v1,2779.0,0.619,0.317,00088,90,70
EP_CP_P1201_000000089,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_70,2,22,24,v1,v1,1861.25,0.287,0.212,00089,90,70
EP_CP_P1201_000000090,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_70,4,22,24,v1,v1,1010.0,0.115,0.115,00090,90,70
EP_CP_P1201_000000091,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_70,8,22,24,v1,v1,638.25,0.041,0.073,00091,90,70
EP_CP_P1201_000000092,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_60,1,22,24,v1,v1,2723.0,0.596,0.311,00092,90,60
EP_CP_P1201_000000093,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_60,2,22,24,v1,v1,1749.0,0.242,0.2,00093,90,60
EP_CP_P1201_000000094,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_60,4,22,24,v1,v1,920.5,0.088,0.105,00094,90,60
EP_CP_P1201_000000095,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_60,8,22,24,v1,v1,561.0,0.029,0.064,00095,90,60
EP_CP_P1201_000000096,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_50,1,22,24,v1,v1,2662.75,0.566,0.304,00096,90,50
EP_CP_P1201_000000097,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_50,2,22,24,v1,v1,1617.0,0.199,0.185,00097,90,50
EP_CP_P1201_000000098,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_50,4,22,24,v1,v1,827.25,0.057,0.094,00098,90,50
EP_CP_P1201_000000099,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_50,8,22,24,v1,v1,495.5,0.02,0.057,00099,90,50
EP_CP_P1201_000000100,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_40,1,22,24,v1,v1,2565.5,0.522,0.293,00100,90,40
EP_CP_P1201_000000101,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_40,2,22,24,v1,v1,1469.5,0.151,0.168,00101,90,40
EP_CP_P1201_000000102,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_40,4,22,24,v1,v1,720.5,0.033,0.082,00102,90,40
EP_CP_P1201_000000103,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_40,8,22,24,v1,v1,428.25,0.012,0.049,00103,90,40
EP_CP_P1201_000000104,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_80,1,22,24,v1,v1,2813.5,0.632,0.321,00104,80,80
EP_CP_P1201_000000105,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_80,2,22,24,v1,v1,1954.0,0.321,0.223,00105,80,80
EP_CP_P1201_000000106,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_80,4,22,24,v1,v1,1103.5,0.138,0.126,00106,80,80
EP_CP_P1201_000000107,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_80,8,22,24,v1,v1,706.5,0.057,0.081,00107,80,80
EP_CP_P1201_000000108,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_70,1,22,24,v1,v1,2773.5,0.617,0.317,00108,80,70
EP_CP_P1201_000000109,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_70,2,22,24,v1,v1,1850.5,0.285,0.211,00109,80,70
EP_CP_P1201_000000110,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_70,4,22,24,v1,v1,1007.0,0.114,0.115,00110,80,70
EP_CP_P1201_000000111,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_70,8,22,24,v1,v1,635.75,0.04,0.073,00111,80,70
EP_CP_P1201_000000112,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_60,1,22,24,v1,v1,2716.0,0.593,0.31,00112,80,60
EP_CP_P1201_000000113,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_60,2,22,24,v1,v1,1739.25,0.239,0.199,00113,80,60
EP_CP_P1201_000000114,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_60,4,22,24,v1,v1,915.5,0.086,0.105,00114,80,60
EP_CP_P1201_000000115,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_60,8,22,24,v1,v1,559.75,0.029,0.064,00115,80,60
EP_CP_P1201_000000116,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_50,1,22,24,v1,v1,2655.25,0.56,0.303,00116,80,50
EP_CP_P1201_000000117,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_50,2,22,24,v1,v1,1605.25,0.195,0.183,00117,80,50
EP_CP_P1201_000000118,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_50,4,22,24,v1,v1,823.0,0.056,0.094,00118,80,50
EP_CP_P1201_000000119,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_50,8,22,24,v1,v1,494.5,0.02,0.056,00119,80,50
EP_CP_P1201_000000120,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_40,1,22,24,v1,v1,2554.25,0.518,0.292,00120,80,40
EP_CP_P1201_000000121,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_40,2,22,24,v1,v1,1457.25,0.148,0.166,00121,80,40
EP_CP_P1201_000000122,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_40,4,22,24,v1,v1,713.5,0.032,0.081,00122,80,40
EP_CP_P1201_000000123,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,80_40,8,22,24,v1,v1,427.0,0.012,0.049,00123,80,40
EP_CP_P1201_000000124,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_70,1,22,24,v1,v1,2765.5,0.614,0.316,00124,70,70
EP_CP_P1201_000000125,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,70_70,2,22,24,v1,v1,1839.75,0.281,0.21,00125,70,70
