job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000169,00169,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,90,70,0.239
EP_CP_P1201_000000170,00170,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,90,70,0.159
EP_CP_P1201_000000171,00171,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,90,70,0.115
EP_CP_P1201_000000172,00172,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,90,60,0.305
EP_CP_P1201_000000173,00173,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,90,60,0.233
EP_CP_P1201_000000174,00174,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,90,60,0.151
EP_CP_P1201_000000175,00175,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,90,60,0.107
EP_CP_P1201_000000176,00176,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,90,50,0.301
EP_CP_P1201_000000177,00177,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,90,50,0.228
EP_CP_P1201_000000178,00178,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,90,50,0.144
EP_CP_P1201_000000179,00179,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,90,50,0.1
EP_CP_P1201_000000180,00180,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,90,40,0.298
EP_CP_P1201_000000181,00181,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,90,40,0.221
EP_CP_P1201_000000182,00182,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,90,40,0.137
EP_CP_P1201_000000183,00183,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,90,40,0.092
EP_CP_P1201_000000184,00184,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,80,80,0.31
EP_CP_P1201_000000185,00185,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,80,80,0.243
EP_CP_P1201_000000186,00186,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,80,80,0.165
EP_CP_P1201_000000187,00187,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,80,80,0.122
EP_CP_P1201_000000188,00188,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,80,70,0.308
EP_CP_P1201_000000189,00189,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,80,70,0.239
EP_CP_P1201_000000190,00190,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,80,70,0.159
EP_CP_P1201_000000191,00191,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,80,70,0.115
EP_CP_P1201_000000192,00192,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,80,60,0.305
EP_CP_P1201_000000193,00193,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,80,60,0.233
EP_CP_P1201_000000194,00194,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,80,60,0.151
EP_CP_P1201_000000195,00195,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,80,60,0.107
EP_CP_P1201_000000196,00196,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,80,50,0.301
EP_CP_P1201_000000197,00197,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,80,50,0.227
EP_CP_P1201_000000198,00198,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,80,50,0.144
EP_CP_P1201_000000199,00199,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,80,50,0.1
EP_CP_P1201_000000200,00200,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,80,40,0.297
EP_CP_P1201_000000201,00201,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,80,40,0.221
